SPCD,DO_BH,HT_TOT,TT_DW_CRM,COMMON_NAME
12,7.4,43.8,162.66,balsam fir 
12,7.4,46.5,150.43,balsam fir 
12,7.4,53.7,158.26,balsam fir 
12,7.7,47.0,166.43,balsam fir 
12,7.8,49.5,181.73,balsam fir 
12,7.9,58.5,212.81,balsam fir 
12,7.9,46.6,155.22,balsam fir 
12,8.0,47.9,195.49,balsam fir 
12,8.1,54.7,212.48,balsam fir 
12,8.4,58.5,234.01,balsam fir 
12,8.4,52.0,206.29,balsam fir 
12,8.5,46.7,203.59,balsam fir 
12,8.6,49.9,245.57,balsam fir 
12,8.6,51.5,223.72,balsam fir 
12,8.7,55.5,236.71,balsam fir 
12,8.8,58.0,259.81,balsam fir 
12,8.8,56.5,234.76,balsam fir 
12,8.9,54.3,256.44,balsam fir 
12,9.0,49.9,237.6,balsam fir 
12,9.0,37.8,225.85,balsam fir 
12,9.1,48.6,235.49,balsam fir 
12,9.3,48.9,242.46,balsam fir 
12,9.3,57.7,299.45,balsam fir 
12,9.5,58.4,304.31,balsam fir 
12,9.5,64.1,338.07,balsam fir 
12,9.6,47.2,261.58,balsam fir 
12,9.6,55.6,307.33,balsam fir 
12,9.6,63.4,312.21,balsam fir 
12,9.7,58.7,326.26,balsam fir 
12,9.7,55.3,315.28,balsam fir 
12,9.8,58.0,318.85,balsam fir 
12,9.9,53.0,306.66,balsam fir 
12,10.0,59.5,344.59,balsam fir 
12,10.0,64.7,370.84,balsam fir 
12,10.0,63.1,339.95,balsam fir 
12,10.1,66.9,385.01,balsam fir 
12,10.1,65.9,388.42,balsam fir 
12,10.5,61.5,376.33,balsam fir 
12,10.5,50.0,324.92,balsam fir 
12,10.5,69.5,419.38,balsam fir 
12,10.6,65.7,421.09,balsam fir 
12,10.7,65.0,444.87,balsam fir 
12,10.8,58.6,368.21,balsam fir 
12,10.8,61.1,406.79,balsam fir 
12,5.0,39.6,53.4,balsam fir 
12,11.1,53.8,351.08,balsam fir 
12,5.0,41.9,49.63,balsam fir 
12,11.6,60.2,471.34,balsam fir 
12,11.9,67.3,556.32,balsam fir 
12,11.9,63.6,538.96,balsam fir 
12,12.0,60.6,517.23,balsam fir 
12,12.1,66.7,535.09,balsam fir 
12,12.2,68.4,568.12,balsam fir 
12,12.4,70.8,636.65,balsam fir 
12,12.9,78.6,664.39,balsam fir 
12,13.8,57.5,614.59,balsam fir 
12,15.2,58.6,783.2,balsam fir 
12,5.3,41.9,64.79,balsam fir 
12,5.6,38.2,71.29,balsam fir 
12,5.9,42.7,99.17,balsam fir 
12,6.0,33.2,73.79,balsam fir 
12,6.0,42.5,93.43,balsam fir 
12,6.3,40.2,91.09,balsam fir 
12,6.4,51.2,120.21,balsam fir 
12,5.0,40.3,48.87,balsam fir 
12,6.0,37.6,85.28,balsam fir 
12,6.2,39.6,91.21,balsam fir 
12,6.4,44.1,118.43,balsam fir 
12,6.7,48.4,130.78,balsam fir 
12,6.9,44.3,138.58,balsam fir 
12,7.0,43.3,125.61,balsam fir 
12,7.0,49.8,128.44,balsam fir 
12,7.4,47.4,151.18,balsam fir 
12,7.5,58.3,190.6,balsam fir 
12,7.8,61.1,218.14,balsam fir 
12,7.9,36.3,156.08,balsam fir 
12,8.0,58.3,231.26,balsam fir 
12,8.4,41.8,194.44,balsam fir 
12,8.5,50.8,241.93,balsam fir 
12,8.7,62.7,268.99,balsam fir 
